Years,Value
1961.666667,63.41
1961.75,53.85
1961.833333,40.5
1961.916667,31.08
1962,26.96
1962.083333,34.92
1962.166667,37.9
1962.25,51.84
1962.333333,62.24
1962.416667,67.91
1962.5,72.07
1962.583333,72.12
1962.666667,64.18
1962.75,56.12
1962.833333,43.18
1962.916667,33.4
1963,24.44
1963.083333,34.12
1963.166667,43.72
1963.25,51.89
1963.333333,61.02
1963.416667,68.67
1963.5,73.6
1963.583333,71.98
1963.666667,66.34
1963.75,59.36
1963.833333,44.04
1963.916667,27.9
1964,31.53
1964.083333,31.77
1964.166667,38.82
1964.25,51.3
1964.333333,61.43
1964.416667,68
1964.5,74.66
1964.583333,70.72
1964.666667,63.7
1964.75,53.78
1964.833333,42.33
1964.916667,32.04
1965,31.8
1965.083333,32.52
1965.166667,35.44
1965.25,51.89
1965.333333,60.8
1965.416667,66.85
1965.5,72.61
1965.583333,71.06
1965.666667,61.77
1965.75,54.99
1965.833333,44.65
1965.916667,35.85
1966,26.38
1966.083333,31.24
1966.166667,43
1966.25,49.96
1966.333333,60.19
1966.416667,67.93
1966.5,75.07
1966.583333,70.86
1966.666667,64.54
1966.75,52.83
1966.833333,43.21
1966.916667,32.68
1967,33.1
1967.083333,32.88
1967.166667,43.63
1967.25,51.01
1967.333333,57.63
1967.416667,67.55
1967.5,72.52
1967.583333,71.22
1967.666667,64.06
1967.75,53.92
1967.833333,41.54
1967.916667,32.07
1968,28.94
1968.083333,32.92
1968.166667,43.56
1968.25,50.58
1968.333333,58.17
1968.416667,68.5
1968.5,72.86
1968.583333,70.59
1968.666667,63.9
1968.75,54.64
1968.833333,41.14
1968.916667,30.04
1969,29.37
1969.083333,32.81
1969.166667,36.03
1969.25,52.63
1969.333333,61.41
1969.416667,66.83
1969.5,74.1
1969.583333,73.22
1969.666667,65.55
1969.75,51.03
1969.833333,41.59
1969.916667,33.46
1970,27.14
1970.083333,35.35
1970.166667,38.5
1970.25,49.44
1970.333333,61.07
1970.416667,68.74
1970.5,73.96
1970.583333,73.38
1970.666667,64.58
1970.75,52.27
1970.833333,41.31
1970.916667,33.58
1971,29.41
1971.083333,33.48
1971.166667,39.65
1971.25,50.27
1971.333333,58.26
1971.416667,69.44
1971.5,72.36
1971.583333,72.01
1971.666667,64.33
1971.75,55.08
1971.833333,41.61
1971.916667,33.98
1972,29.93
1972.083333,33.55
1972.166667,44.04
1972.25,50.81
1972.333333,60.53
1972.416667,68.22
1972.5,72.18
1972.583333,71.67
1972.666667,64.44
1972.75,52.29
1972.833333,38.93
1972.916667,29.86
1973,29.59
1973.083333,33.58
1973.166667,44.29
1973.25,48.83
1973.333333,59.23
1973.416667,68.95
1973.5,73.26
1973.583333,72.61
1973.666667,64.4
1973.75,56.07
1973.833333,42.93
1973.916667,33.71
1974,31.01
1974.083333,34.74
1974.166667,44.38
1974.25,51.55
1974.333333,60.37
1974.416667,68.49
1974.5,74.08
1974.583333,70.3
1974.666667,62.31
1974.75,53.89
1974.833333,42.39
1974.916667,33.66
1975,32.34
1975.083333,32.76
1975.166667,38.7
1975.25,46.85
1975.333333,60.35
1975.416667,67.51
1975.5,73.56
1975.583333,71.53
1975.666667,62.89
1975.75,54.63
1975.833333,42.6
1975.916667,34.29
1976,29.93
1976.083333,39.56
1976.166667,42.31
1976.25,51.85
1976.333333,59.04
1976.416667,67.8
1976.5,72.9
1976.583333,70.66
1976.666667,64.18
1976.75,50
1976.833333,38.48
1976.916667,30.92
1977,23.09
1977.083333,36.03
1977.166667,43.18
1977.25,54.07
1977.333333,61.66
1977.416667,70.34
1977.5,74.43
1977.583333,71.78
1977.666667,65.93
1977.75,53.98
1977.833333,42.87
1977.916667,33.28
1978,25.86
1978.083333,27.99
1978.166667,41.31
1978.25,51.58
1978.333333,59.74
1978.416667,68.94
1978.5,73.8
1978.583333,71.8
1978.666667,65.84
1978.75,54.41
1978.833333,41.47
1978.916667,29.8
1979,21.9
1979.083333,28.13
1979.166667,42.06
1979.25,50.14
1979.333333,59.13
1979.416667,67.82
1979.5,73.13
1979.583333,70.97
1979.666667,66.09
1979.75,55.26
1979.833333,39.94
1979.916667,36.03
1980,31.12
1980.083333,32.85
1980.166667,39.36
1980.25,51.44
1980.333333,60.28
1980.416667,68.74
1980.5,75.76
1980.583333,72.79
1980.666667,66.24
1980.75,52.59
1980.833333,42.31
1980.916667,35.19
1981,32.41
1981.083333,36.59
1981.166667,42.85
1981.25,55.13
1981.333333,58.96
1981.416667,69.82
1981.5,73.96
1981.583333,72.1
1981.666667,64.92
1981.75,52.32
1981.833333,44.74
1981.916667,33.66
1982,26.22
1982.083333,32.59
1982.166667,42.03
1982.25,48.63
1982.333333,60.8
1982.416667,66.33
1982.5,73.2
1982.583333,72.09
1982.666667,64.04
1982.75,53.26
1982.833333,41.13
1982.916667,35.82
1983,33.12
1983.083333,36.86
1983.166667,42.4
1983.25,47.01
1983.333333,57.94
1983.416667,67.1
1983.5,73.99
1983.583333,75.06
1983.666667,65.59
1983.75,55
1983.833333,43.03
1983.916667,25.47
1984,28.83
1984.083333,37.38
1984.166667,40.08
1984.25,49.6
1984.333333,60.08
1984.416667,68.61
1984.5,73.17
1984.583333,73.13
1984.666667,63.14
1984.75,53.6
1984.833333,41.54
1984.916667,34.54
1985,26.31
1985.083333,30.87
1985.166667,43.48
1985.25,54.36
